name,docket,claim
United States v. Rodriquez,06-1646,States can tax interest from bonds issued by other states while exempting interest from their own bonds without violating federal law.
United States v. Rodriquez,06-1646,The Constitution allows states to favor their own bonds in tax policies because issuing bonds is part of their government role.
United States v. Rodriquez,06-1646,Taxing out-of-state bonds differently is legal if the state's policy serves a valid public purpose.
Department of Revenue of Kentucky v. Davis,06-666,"States can regulate activities that occur within their own territory, even if most of the project is located in another state."
Department of Revenue of Kentucky v. Davis,06-666,"When states agree on a boundary, each controls its assigned areas and can enforce rules there."
Department of Revenue of Kentucky v. Davis,06-666,"A state can deny projects that would harm its territory, regardless of where the majority of the project is located."
Department of Revenue of Kentucky v. Davis,06-666,Boundary agreements between states do not prevent a state from managing its own territory.
New Jersey v. Delaware,134-orig,"Police can search a person after making an arrest if they had probable cause, even if state law says they should have given a ticket instead."
New Jersey v. Delaware,134-orig,"The law does not require throwing out evidence found during a search after an arrest with probable cause, even if the arrest violated state law."
New Jersey v. Delaware,134-orig,State laws requiring police to issue citations instead of arrests for certain offenses do not affect the legality of a search incident to that arrest.
New Jersey v. Delaware,134-orig,"The Fourth Amendment does not require suppression of evidence when police have probable cause for an arrest, even if state law was broken during the arrest."
Virginia v. Moore,06-1082,Workers can sue their employer for retaliation after reporting racial discrimination under the Civil Rights Act of 1866.
Virginia v. Moore,06-1082,Employees do not need to file a complaint with a government agency before suing for retaliation under this law.
Virginia v. Moore,06-1082,"The law protects workers who report racial discrimination even if their complaint was mistaken, as long as they believed it was true."
Virginia v. Moore,06-1082,"Employers cannot fire, demote, or harass employees for complaining about racial discrimination."
"CBOCS West, Inc. v. Humphries",06-1431,The Voting Rights Act requires federal approval for voting changes only when the change is legally valid and in effect.
"CBOCS West, Inc. v. Humphries",06-1431,A voting change that is invalid under state law is not considered a change for the purpose of federal preclearance requirements.
Riley v. Kennedy,07-77,"If you weren't part of a previous lawsuit, you can usually file your own lawsuit about the same issue, even if you have the same lawyer as someone in the first case."
Riley v. Kennedy,07-77,Courts generally cannot stop someone from suing just because another person with the same lawyer already lost a similar case.
Riley v. Kennedy,07-77,Sharing a lawyer with someone who previously sued does not automatically mean you are treated as the same person in court for the purpose of blocking a new lawsuit.
Riley v. Kennedy,07-77,A lawsuit dismissed against one person does not automatically stop another person from filing a similar lawsuit unless there are specific legal reasons that apply to their situation.
Taylor v. Sturgell,07-371,Section 10(b) of the Securities Exchange Act only allows lawsuits against people who directly made false statements or engaged in deceptive conduct that investors relied on.
Taylor v. Sturgell,07-371,You cannot sue someone under Section 10(b) for helping another person commit fraud if they did not themselves make any false statements or deceptive actions.
Taylor v. Sturgell,07-371,The law does not permit suing someone for securities fraud under Section 10(b) if their actions were not part of what investors saw or relied on.
Taylor v. Sturgell,07-371,Congress has not given investors the right to sue people who only helped with fraud but didn't directly deceive them.
"Stoneridge Investment Partners, LLC v. Scientific-Atlanta, Inc.",06-43,Judges do not need to provide advance notice before imposing a sentence that differs from the Federal Sentencing Guidelines.
"Stoneridge Investment Partners, LLC v. Scientific-Atlanta, Inc.",06-43,"The Federal Sentencing Guidelines are advisory, so judges are not required to follow them exactly."
"Stoneridge Investment Partners, LLC v. Scientific-Atlanta, Inc.",06-43,"If the Federal Sentencing Guidelines were mandatory, judges would have to give advance notice before sentencing outside the guidelines."
Irizarry v. United States,06-7517,"Courts can only overturn arbitration awards for specific reasons listed in the Federal Arbitration Act, such as corruption or bias."
Irizarry v. United States,06-7517,Parties cannot agree to let courts review arbitration decisions for legal mistakes beyond what the law allows.
Irizarry v. United States,06-7517,Any arbitration agreement that tries to expand court review beyond the Federal Arbitration Act's rules is not enforceable.
Irizarry v. United States,06-7517,The Federal Arbitration Act's review standards cannot be changed by private contracts.
"Hall Street Associates, L.L.C. v. Mattel, Inc.",06-989,"Individuals and companies can sue under RICO when false statements directly harm them, even if those statements were made to someone else."
"Hall Street Associates, L.L.C. v. Mattel, Inc.",06-989,You don't need to prove you personally believed the false statements to bring a RICO lawsuit for mail fraud.
"Hall Street Associates, L.L.C. v. Mattel, Inc.",06-989,False statements made to a neutral third party can lead to a RICO lawsuit if they directly cause harm to the person suing.
Bridge v. Phoenix Bond & Indemnity Co.,07-210,Federal money laundering charges require that the money involved must be the profit from the illegal activity after subtracting expenses.
Bridge v. Phoenix Bond & Indemnity Co.,07-210,"When a federal law is unclear, courts must interpret it in a way that benefits the person accused."
Bridge v. Phoenix Bond & Indemnity Co.,07-210,Money used to pay for the costs of running an illegal business cannot be used as the basis for a money laundering conviction.
Watson v. United States,06-571,Parents are not required to enroll their child in a public school that does not provide an appropriate education before seeking reimbursement for private school tuition.
Watson v. United States,06-571,There is no single rule across the United States about whether tuition reimbursement is available for children who never attended public school.
Watson v. United States,06-571,Some courts allow reimbursement for private school tuition even if the child never received special education services from a public school.
Watson v. United States,06-571,The law does not clearly state that children must attend public school first to qualify for reimbursement.
United States v. Santos,06-1005,"Federal law requires disputes covered by an arbitration agreement to go to arbitration, even if state law gives a government agency exclusive authority over the issue."
United States v. Santos,06-1005,Government agencies cannot stop arbitration proceedings when the parties have agreed to arbitrate their disputes.
United States v. Santos,06-1005,"When a contract has an arbitration clause, the arbitrator decides whether the contract is legal, not a government agency."
United States v. Santos,06-1005,Federal law overrides state laws that conflict with the requirement to arbitrate disputes.
Bd. of Educ. of City Sch. Dist. of N.Y. v. Tom F.,06-637,A company that has been assigned the legal right to sue can take legal action even if they must pass any money won to the original party.
Bd. of Educ. of City Sch. Dist. of N.Y. v. Tom F.,06-637,"The law allows someone to sue for a claim they were assigned, regardless of whether they personally benefit from the outcome."
Preston v. Ferrer,06-1463,A lawyer's incorrect legal advice about a plea deal can be considered ineffective assistance if the advice was unreasonable.
Preston v. Ferrer,06-1463,"If a lawyer's mistake causes a client to lose a plea deal, courts can order the prosecution to offer the original plea terms again."
"Sprint Communications Co., L.P. v. APCC Services, Inc.",07-552,A person who is mentally able to stand trial isn't automatically allowed to represent themselves in court.
"Sprint Communications Co., L.P. v. APCC Services, Inc.",07-552,"If a defendant has severe mental illness that stops them from conducting a coherent defense, the law allows states to require a lawyer."
"Sprint Communications Co., L.P. v. APCC Services, Inc.",07-552,States can deny a defendant's request to represent themselves if their mental condition prevents them from managing trial proceedings effectively.
"Sprint Communications Co., L.P. v. APCC Services, Inc.",07-552,"The right to self-representation only applies when a defendant can actually handle the defense process, not just meet basic competency requirements."
Arave v. Hoffman,07-110,"Lawsuits against the federal government under the Tucker Act must be filed within six years of when the claim arose; otherwise, the court cannot hear the case."
Arave v. Hoffman,07-110,"The six-year deadline for Tucker Act claims cannot be changed by agreement between the parties or the government, even if both agree to proceed."
Arave v. Hoffman,07-110,Courts can dismiss a Tucker Act case for missing the six-year deadline even if neither party raises the issue.
Arave v. Hoffman,07-110,"If a Tucker Act lawsuit is filed after six years, the court must dismiss it without considering whether the government took property illegally."
Indiana v. Edwards,07-208,"Offers to sell illegal items are not protected by the First Amendment, even if the items don't exist."
Indiana v. Edwards,07-208,Laws must clearly state what is illegal so people can understand them.
John R. Sand & Gravel Company v. United States,06-1164,Utility companies can only renegotiate long-term energy contracts if the existing contract would cause serious harm to the public interest.
John R. Sand & Gravel Company v. United States,06-1164,Government agencies must gather factual evidence about a contract's impact on public interest before approving or denying renegotiation.
John R. Sand & Gravel Company v. United States,06-1164,The government's usual assumption that utility contracts are reasonable does not apply if the contract could harm the public.
United States v. Williams,06-694,"When multiple people or groups claim ownership of the same assets, all must be part of the lawsuit for a fair decision."
United States v. Williams,06-694,"If a key party is needed to resolve the dispute and can be included, the court must add them before deciding."
United States v. Williams,06-694,Courts must drop a case if a key party is missing and there's no legal reason they can't be included.
United States v. Williams,06-694,A foreign government's claim that it can't be sued doesn't automatically mean it doesn't have to join the lawsuit.
Morgan Stanley Capital Group Inc. v. Public Utility District No. 1 of Snohomish County,06-1457,Government agencies must explain why they are changing their policies.
Morgan Stanley Capital Group Inc. v. Public Utility District No. 1 of Snohomish County,06-1457,Agencies do not have to prove that a new policy is better than the old one; they only need to show it's allowed by law and has good reasons.
Morgan Stanley Capital Group Inc. v. Public Utility District No. 1 of Snohomish County,06-1457,A policy change without a clear explanation is invalid under administrative law.
Morgan Stanley Capital Group Inc. v. Public Utility District No. 1 of Snohomish County,06-1457,Administrative law requires policy changes to be based on logical reasons.
Republic of Philippines v. Pimentel,06-1204,Police officers cannot be sued for actions that were not clearly against the law at the time they happened.
Republic of Philippines v. Pimentel,06-1204,Courts can choose to first check if the law clearly said the actions were illegal before deciding if officials can be sued.
Republic of Philippines v. Pimentel,06-1204,A warrant is required to search a home unless the resident consents or another exception applies.
"FCC v. Fox Television Stations, Inc.",07-582,A person who wins a lawsuit against the government can be reimbursed for paralegal services at the market rate.
"FCC v. Fox Television Stations, Inc.",07-582,The law does not limit reimbursement of paralegal fees to only what the law firm paid for those services.
"Pearson, et al. v. Callahan",07-751,"If a union contract clearly states that age discrimination claims must be resolved through arbitration, employees cannot file those claims in federal court."
"Pearson, et al. v. Callahan",07-751,Federal law allows collective bargaining agreements to require employees to arbitrate age discrimination claims instead of taking them to court.
"Pearson, et al. v. Callahan",07-751,Employers and unions can agree in a union contract that age discrimination claims must go through arbitration rather than being handled in court.
Richlin Security Service Co. v. Chertoff,06-1717,"IDEA allows reimbursement for private school tuition if the public school failed to provide a free appropriate education, regardless of whether the student previously received special education services from the public school."
Richlin Security Service Co. v. Chertoff,06-1717,The private school must meet the student's educational needs for reimbursement to be granted under IDEA.
Richlin Security Service Co. v. Chertoff,06-1717,A student leaving public school on their own does not prevent reimbursement under IDEA if the public school failed to provide a free appropriate education.
Richlin Security Service Co. v. Chertoff,06-1717,The reason a student leaves public school (such as for reasons unrelated to their disability) does not affect their right to reimbursement if the public school failed to provide a free appropriate education.
14 Penn Plaza LLC v. Pyett,07-581,States cannot tax ships for using their ports.
14 Penn Plaza LLC v. Pyett,07-581,A tax that only applies to ships and not other property is unconstitutional.
14 Penn Plaza LLC v. Pyett,07-581,A tax on ships can be illegal under the Constitution even if it doesn't affect interstate commerce.
Forest Grove School District v. T.A.,08-305,Courts can only temporarily stop government actions if the person asking shows that serious harm is likely to happen without the stop.
Forest Grove School District v. T.A.,08-305,"When deciding whether to block government actions, courts must weigh the public's interest in those actions against potential harm; strong public interests like national security can outweigh environmental concerns."
Forest Grove School District v. T.A.,08-305,"If a government agency hasn't completed required environmental reviews, courts should not block the activity; they should find other ways to ensure the reviews are done."
Forest Grove School District v. T.A.,08-305,"The exception that allows skipping environmental reviews only applies in true emergencies, not for regular or planned activities."
"Polar Tankers, Inc. v. City of Valdez",08-310,Congress's law authorizing military action does not let the President detain people without charges unless they can challenge the detention in court.
"Polar Tankers, Inc. v. City of Valdez",08-310,The Constitution requires that anyone held without criminal charges must have a fair chance to challenge the reasons for their detention.
Republic of Iraq v. Beaty,07-1090,Judges must step aside from cases where a party donated a large amount to their election campaign.
Republic of Iraq v. Beaty,07-1090,"A judge must step aside even if they are not biased, if the situation could make people think they're not fair."
Republic of Iraq v. Beaty,07-1090,"If a party in a case has donated to a judge's campaign, the judge cannot hear that case."
"Winter v. Natural Resources Defense Council, Inc.",07-1239,The law doesn't require the crime to have a minimum loss amount specified in its definition for deportation to apply.
"Winter v. Natural Resources Defense Council, Inc.",07-1239,"The total amount of money lost can be decided during sentencing, even if the jury didn't calculate it."
"Winter v. Natural Resources Defense Council, Inc.",07-1239,"A person convicted of conspiring to commit fraud can be deported if the total losses to victims exceed $10,000."
Al-Marri v. Spagone,08-368,Government officials are protected from lawsuits unless the plaintiff proves they violated a constitutional right that was clearly established by existing law at the time of the incident.
Al-Marri v. Spagone,08-368,Simply stating that high-ranking officials knew about unconstitutional actions by their subordinates is not enough to prove unlawful discrimination; the plaintiff must show the officials intended to discriminate.
Caperton v. A. T. Massey Coal Co.,08-22,"Expert witnesses are paid the same amount for attending court in any federal court, including the Supreme Court."
Caperton v. A. T. Massey Coal Co.,08-22,Federal courts must use identical rules for paying expert witnesses regardless of the court level.
Caperton v. A. T. Massey Coal Co.,08-22,The amount paid to expert witnesses for court appearances does not change based on whether the case is in a district court or the Supreme Court.
Nijhawan v. Holder,08-495,Federal law requires that people arrested by federal authorities be brought before a judge without unnecessary delay.
Nijhawan v. Holder,08-495,"Confessions made after an unreasonable delay before seeing a judge are generally not allowed in court, even if the person agreed to confess."
Nijhawan v. Holder,08-495,A federal law that says voluntary confessions can be used in court does not override the rule that people must be brought before a judge promptly.
Nijhawan v. Holder,08-495,The requirement to bring arrested people before a judge promptly can keep confessions out of court even if they were given willingly.
Ashcroft v. Iqbal,07-1015,The U.S. Army Corps of Engineers is the only agency allowed to issue permits for discharges classified as fill material under the Clean Water Act.
Ashcroft v. Iqbal,07-1015,Discharges of fill material do not need to meet the Environmental Protection Agency's pollution standards.
Ashcroft v. Iqbal,07-1015,The U.S. Army Corps of Engineers can approve permits for discharges of fill material even when the discharge contains pollutants.
Ashcroft v. Iqbal,07-1015,The Environmental Protection Agency has no authority to regulate discharges of fill material under the Clean Water Act.
Kansas v. Colorado,105-orig,The government must prove that a person knew the identification they used belonged to another person to convict them of aggravated identity theft.
Kansas v. Colorado,105-orig,A person cannot be found guilty of aggravated identity theft if they did not know the identification belonged to someone else.
Corley v. United States,07-10441,Title IX is not the only way to address sex discrimination in schools.
Corley v. United States,07-10441,Section 1983 can be used to sue schools for constitutional rights violations related to sex discrimination.
Corley v. United States,07-10441,Schools cannot block Section 1983 lawsuits by claiming Title IX covers the issue.
Coeur Alaska v. S.E. Alaska Conservation Council,07-984,"If a company's policy was legal when it was first made, it doesn't become illegal later just because new laws against discrimination are passed."
Coeur Alaska v. S.E. Alaska Conservation Council,07-984,"Whether a policy is legal depends on when it was created, not when employees are affected by it."
Coeur Alaska v. S.E. Alaska Conservation Council,07-984,"New laws against discrimination don't apply to policies that were already in place before the laws existed, as long as those policies were legal when created."
Coeur Alaska v. S.E. Alaska Conservation Council,07-984,Employers don't have to update policies that were legal when made to follow new laws against discrimination.
Flores-Figueroa v. United States,08-108,Unions may charge nonmembers for national litigation expenses if the legal issues involved are the same as those that would be covered by the union's regular activities when handled locally.
Flores-Figueroa v. United States,08-108,Nonmembers can be required to pay for national litigation costs only when other local unions share the costs in a reciprocal arrangement where each union contributes to similar expenses.
Fitzgerald v. Barnstable School Committee,07-1125,"The Voting Rights Act does not require redistricting if a minority group is less than half the voters in a district, even if they could win elections with help from other voters."
Fitzgerald v. Barnstable School Committee,07-1125,The Voting Rights Act only requires redistricting when a minority group can form a majority in a district.
Fitzgerald v. Barnstable School Committee,07-1125,"If a redistricting plan does not meet the Voting Rights Act's requirements, then state laws about redistricting must be followed."
AT&T Corp. v. Hulteen,07-543,The Indian Reorganization Act of 1934 only allows the federal government to take land into trust for tribes recognized by the federal government in 1934.
AT&T Corp. v. Hulteen,07-543,Tribes recognized after 1934 cannot have land placed into federal trust under the Indian Reorganization Act.
Locke v. Karass,07-610,Courts can change previous rulings if new facts or laws make following the original order unfair.
Locke v. Karass,07-610,Changes in laws or government actions can require a court to review its prior decisions.
Locke v. Karass,07-610,A court must consider all significant changes before deciding whether to keep a ruling in place.
Locke v. Karass,07-610,"When deciding whether to modify a court order, the key is whether changes make the order unreasonable, not whether every possible change has happened."
Bartlett v. Strickland,07-689,"Federal law determines what counts as a 'crime of violence' for sentencing purposes, even if a state law calls it something else."
Bartlett v. Strickland,07-689,"To be considered a 'crime of violence' under federal law, a crime must involve active behavior that creates a serious risk of physical injury."
Bartlett v. Strickland,07-689,"Crimes that only involve failing to act, like not reporting to prison, do not count as 'crimes of violence' under federal law."
Bartlett v. Strickland,07-689,Federal law does not count prior convictions for crimes where someone only failed to act as violent crimes when increasing a sentence.
Carcieri v. Salazar,07-526,Statements made without a lawyer present can be used to show a defendant is lying on the stand.
Carcieri v. Salazar,07-526,The right to have a lawyer does not stop a defendant's statements from being used to contradict their testimony in court.
Horne v. Flores,08-289,Judges must be informed of their discretion to consider differences in crack and powder cocaine sentencing before it can be assumed they chose not to use that discretion.
Horne v. Flores,08-289,Appellate courts cannot assume a trial court knew about its discretion to address crack and powder cocaine sentencing disparities unless the case record shows the trial court was informed.
Chambers v. United States,06-11206,Employers cannot discard valid job exam results just because they result in fewer minority candidates being promoted unless they have strong evidence that keeping the results would lead to legal liability under anti-discrimination laws.
Chambers v. United States,06-11206,Federal anti-discrimination law does not allow employers to ignore their own race-neutral hiring rules without proof that following those rules would likely violate federal law.
Kansas v. Ventris,07-1356,"In criminal trials, the analyst who prepared a lab report must testify in court so the defendant can ask them questions."
Kansas v. Ventris,07-1356,A lab report created for court use cannot be admitted as evidence without the analyst testifying.
Kansas v. Ventris,07-1356,Defendants have the right to question the person who prepared any forensic lab report used against them.
Moore v. United States,07-10689,"In age discrimination cases under the ADEA, the person suing must prove that age was the main reason for the employer's action."
Moore v. United States,07-10689,Employers in ADEA cases do not have to prove they would have made the same decision even if age wasn't considered.
Moore v. United States,07-10689,The ADEA has different rules than other discrimination laws about who needs to prove what in court.
Ricci v. DeStefano,07-1428,"If an employer intentionally refuses to pay for an injured seaman's daily living needs and medical treatment, the seaman can seek extra money as punishment."
Ricci v. DeStefano,07-1428,Employers who willfully fail to cover an injured worker's daily living needs and medical treatment may be required to pay additional money as a penalty.
Melendez-Diaz v. Massachusetts,07-591,"If someone doesn't object to a mistake during their trial, the law allows them to appeal only if the mistake was clear and obvious."
Melendez-Diaz v. Massachusetts,07-591,A mistake affects someone's rights only if it likely changed the outcome of their case.
Melendez-Diaz v. Massachusetts,07-591,Courts can fix a mistake on appeal only if it made the trial seem unfair or damaged public trust in the justice system.
Melendez-Diaz v. Massachusetts,07-591,Someone must prove all these conditions to get relief for an error not raised during trial.
"Gross v. FBL Financial Services, Inc.",08-441,You do not need permission from a higher court to challenge a decision that stops federal lawyers from working on state clemency cases.
"Gross v. FBL Financial Services, Inc.",08-441,"Federal law permits court-appointed lawyers in death penalty cases to represent clients during state clemency proceedings, even if the state doesn't provide lawyers for that step."
"Atlantic Sounding Co., Inc. v. Townsend",08-214,Sentencing guidelines are not mandatory; judges can choose different sentences if they think the guidelines are unfair.
"Atlantic Sounding Co., Inc. v. Townsend",08-214,Judges can decide to sentence someone differently because they disagree with the policies behind the guidelines.
"Atlantic Sounding Co., Inc. v. Townsend",08-214,The law allows judges to adjust sentences to correct unfair differences created by the guidelines.
Puckett v. United States,07-9712,Local governments can ask to be exempt from federal rules that require approval before changing voting practices.
Puckett v. United States,07-9712,Courts may choose not to rule on whether a law is constitutional if they can resolve the case using other legal arguments.
Harbison v. Bell,07-8521,Antidumping duties apply to imported goods sold below fair value but not to services.
Harbison v. Bell,07-8521,"When a law does not clearly state whether a product is a good or service, the agency responsible for enforcement can reasonably decide how to classify it."
Harbison v. Bell,07-8521,Only goods can be subject to antidumping duties under the law.
Spears v. United States,08-5721,ERISA's anti-alienation provision does not invalidate a spouse's waiver of pension benefits in a divorce agreement.
Spears v. United States,08-5721,A pension plan must pay benefits to the person listed as beneficiary unless that person has formally given up their rights through the plan's procedures.
Spears v. United States,08-5721,A divorce agreement that waives pension rights does not automatically change the beneficiary designation; the plan must be notified of the waiver.
Spears v. United States,08-5721,"If a beneficiary does not submit a disclaimer to the plan, the plan will pay them even if a divorce settlement says they should not receive the benefits."
Northwest Austin Municipal Util. Dist. No. One v. Holder,08-322,Bankruptcy courts can issue orders that stop lawsuits against companies not in bankruptcy if those lawsuits relate to the debtor's estate.
Northwest Austin Municipal Util. Dist. No. One v. Holder,08-322,Settlements approved by bankruptcy courts that include protections for third parties are legally binding on all parties.
Northwest Austin Municipal Util. Dist. No. One v. Holder,08-322,"Once a court's order is final, it cannot be challenged later for lacking jurisdiction."
United States v. Eurodif S.A.,07-1059,"When the U.S. government is not part of a False Claims Act lawsuit, you have 30 days to appeal a court decision."
United States v. Eurodif S.A.,07-1059,"If the U.S. government is involved in a False Claims Act case, you have 60 days to appeal a court decision."
Kennedy v. Plan Administrator for DuPont Sav. and Investment Plan,07-636,U.S. law does not automatically deny asylum to people who were forced to persecute others.
Kennedy v. Plan Administrator for DuPont Sav. and Investment Plan,07-636,The government must consider whether someone was coerced into persecution when evaluating asylum applications.
Kennedy v. Plan Administrator for DuPont Sav. and Investment Plan,07-636,Asylum seekers can present evidence that they were forced to participate in persecution.
Travelers Indemnity Co. v. Bailey,08-295,Damages for fear of cancer can only be awarded if the person proves their fear is genuine and serious.
Travelers Indemnity Co. v. Bailey,08-295,"If a defendant in a lawsuit asks for it, the judge must explain to the jury what standard must be met for awarding damages related to fear of cancer."
United States ex rel. Eisenstein v. City of New York,08-660,"When police stop a car for a traffic violation, everyone inside must stay until the stop is over."
United States ex rel. Eisenstein v. City of New York,08-660,Police asking questions unrelated to the traffic stop does not make the encounter voluntary; people in the car are still not free to leave.
United States ex rel. Eisenstein v. City of New York,08-660,Police can search someone during a traffic stop if they have a good reason to think the person is carrying a weapon.
United States ex rel. Eisenstein v. City of New York,08-660,A traffic stop continues for all occupants even if police ask questions about unrelated topics.
Negusie v. Holder,07-499,States can transfer public land for private development unless a federal law specifically prohibits it.
Negusie v. Holder,07-499,Congressional resolutions expressing regret for historical events do not legally restrict state land management decisions.
Negusie v. Holder,07-499,Only laws passed by Congress can legally stop states from managing public land transfers.
"CSX Transportation, Inc. v. Hensley",08-1034,"When a state court allows a defendant to file a late direct appeal, the conviction is not final under federal law until that appeal is done."
"CSX Transportation, Inc. v. Hensley",08-1034,The federal one-year deadline to file a habeas petition starts after the late appeal is done.
"CSX Transportation, Inc. v. Hensley",08-1034,Federal law does not start the one-year statute of limitations for habeas petitions from the original conviction date if a state court permits a late appeal.
Arizona v. Johnson,07-1122,"State courts can use their own procedural rules to decide cases, even if those rules weren't mentioned earlier in the case."
Arizona v. Johnson,07-1122,The U.S. Supreme Court does not review decisions made by state courts that rely only on state law.
Arizona v. Johnson,07-1122,"If a state court bases its decision on a state law rule, the U.S. Supreme Court cannot overturn that decision."
Hawaii v. Office of Hawaiian Affairs,07-1372,The law does not require proof that a person intended to fire a gun to get a longer prison sentence for firing it during a crime.
Hawaii v. Office of Hawaiian Affairs,07-1372,Accidentally firing a gun during a crime still results in a longer prison sentence under this law.
Hawaii v. Office of Hawaiian Affairs,07-1372,"This federal law applies the same longer prison sentence for any firing of a gun during a crime, regardless of intent."
Jimenez v. Quarterman,07-6984,The Terrorism Risk Insurance Act requires assets to be frozen by the government at the time a creditor tries to use them to pay a court judgment.
Jimenez v. Quarterman,07-6984,"If you accept money from a federal program that pays people with terrorism-related court judgments, you cannot later seize assets under that act."
Jimenez v. Quarterman,07-6984,Assets owned by a terrorist group aren't automatically frozen; the government must specifically freeze them.
Jimenez v. Quarterman,07-6984,Courts cannot use the Terrorism Risk Insurance Act to seize assets that weren't frozen when the court made its decision.
Philip Morris USA Inc. v. Williams,07-1216,Federal courts cannot order someone released from prison based on jury instructions unless those instructions were so unreasonable that no reasonable judge would have approved them.
Philip Morris USA Inc. v. Williams,07-1216,The law does not allow jury instructions that are so confusing that no reasonable person could understand what the law requires.
Dean v. United States,08-5274,School officials cannot strip search students for minor violations that do not pose a safety risk because the search would be too invasive.
Dean v. United States,08-5274,School officials are not personally responsible for damages when the law did not clearly prohibit their actions at the time.
Ministry of Defense and Support for Armed Forces of Islamic Republic of Iran v. Elahi,07-615,"Federal law bans people from owning guns if they were convicted of using force against their spouse, even if the state law that convicted them didn't require proving a relationship."
Ministry of Defense and Support for Armed Forces of Islamic Republic of Iran v. Elahi,07-615,"When applying federal gun laws, the key factor is whether the crime was committed against a spouse or domestic partner at the time, not whether the state law required proving that relationship."
Ministry of Defense and Support for Armed Forces of Islamic Republic of Iran v. Elahi,07-615,"A state misdemeanor conviction for violence against a spouse counts as a domestic violence offense under federal gun restrictions, regardless of whether the state law specifically labeled it as domestic violence."
Waddington v. Sarausad,07-772,"When a city selects which monuments to display in a public park, those monuments are considered the city's own expression."
Waddington v. Sarausad,07-772,Cities do not have to accept all requests to place monuments in public parks because the displays are the city's own message.
Waddington v. Sarausad,07-772,"The First Amendment does not require the government to include every viewpoint in its own displays, such as monuments in public parks."
Waddington v. Sarausad,07-772,"A city can refuse a monument request even if it already has another monument, because the existing monuments are the city's own expression."
Safford Unified School District v. Redding,08-479,"When a government agency makes a procedural mistake, the person affected must prove that the mistake harmed their case for it to be reconsidered."
Safford Unified School District v. Redding,08-479,Procedural errors by government agencies do not automatically affect a claim's outcome; the affected person must show actual damage.
Safford Unified School District v. Redding,08-479,"The law requires demonstrating actual harm from procedural errors, not just the existence of the error."
United States v. Hayes,07-608,Federal approval of a drug's warning label does not prevent someone from suing the manufacturer in state court for not having a proper warning.
United States v. Hayes,07-608,Drug manufacturers must update their labels to include new safety information even after the FDA approves them.
United States v. Hayes,07-608,States can require stronger warnings on drugs than federal regulations require.
United States v. Hayes,07-608,"Federal drug labeling rules are the minimum standard, and states can require more detailed warnings."
United States v. Hayes,07-608,"State courts can decide if a drug's warning is sufficient under state law, even if the FDA approved the label."
Pleasant Grove City v. Summum,07-665,Title VII prohibits employers from firing employees who participate in internal sexual harassment investigations.
Pleasant Grove City v. Summum,07-665,Employees who answer questions about sexual harassment during an internal investigation are protected from retaliation.
Pleasant Grove City v. Summum,07-665,Providing information about sexual harassment during an employer's internal probe is protected under Title VII.
Pleasant Grove City v. Summum,07-665,"Title VII's anti-retaliation provisions apply to employees who disclose sexual harassment when questioned during an internal investigation, even if they did not report it themselves."
Shinseki v. Sanders,07-1209,Police can search a vehicle without a warrant after an arrest only if they have reason to believe the person could access the vehicle or that the vehicle contains evidence related to the crime for which they were arrested.
Shinseki v. Sanders,07-1209,"When a suspect is handcuffed and placed in a police car, officers cannot search the vehicle without a warrant because the suspect is no longer a threat and cannot access the vehicle."
Shinseki v. Sanders,07-1209,Police must have a warrant to search a vehicle unless there is an immediate danger to officer safety or a risk that evidence related to the arrest could be destroyed.
Wyeth v. Levine,06-1249,"If a court refuses to pause a court case to go to arbitration, the person can appeal that decision, and the appeals court must hear the appeal even if they didn't sign the arbitration agreement."
Wyeth v. Levine,06-1249,People who did not sign an arbitration agreement can ask a court to pause the court case if state law permits them to enforce the agreement.
"Crawford v. Nashville and Davidson County, TN",06-1595,Selling a product that later causes contamination does not make the seller liable for cleanup costs under CERCLA unless the seller intended for the product to be disposed of in a harmful way.
"Crawford v. Nashville and Davidson County, TN",06-1595,"Courts must assign each party's share of cleanup costs based on their actual contribution to the contamination, and higher courts should not overturn this unless there is a clear legal mistake."
Arizona v. Gant,07-542,Federal courts can only hear cases where there is an immediate threat of harm caused by a law or regulation.
Arizona v. Gant,07-542,"A violation of a procedural right (such as the right to comment) is not enough to sue unless it also causes a separate, real harm to someone's interests."
Arizona v. Gant,07-542,"To challenge a government regulation in court, a person or group must show that the regulation is directly harming their specific interests right now."
Arizona v. Gant,07-542,"If there is no evidence that a regulation is currently affecting someone's interests, they cannot sue to challenge it."
Arthur Andersen LLP v. Carlisle,08-146,Corporations and unions can spend money on political ads that support or oppose candidates as long as they don't work with the candidates' campaigns.
Arthur Andersen LLP v. Carlisle,08-146,The government can require organizations to say who paid for political ads to help voters know the source of the money.
Arthur Andersen LLP v. Carlisle,08-146,Corporations and unions cannot give money directly to political candidates.
Arthur Andersen LLP v. Carlisle,08-146,"Political ads that mention a candidate close to an election must disclose their funders, even if they don't say 'vote for' or 'vote against' that candidate."
Burlington N. & Santa Fe Ry. Co. v. United States,07-1601,A state law claim that is preempted by federal law does not automatically allow federal courts to hear the case.
Burlington N. & Santa Fe Ry. Co. v. United States,07-1601,Federal courts must determine if the underlying dispute qualifies for federal jurisdiction before hearing a petition to compel arbitration.
Burlington N. & Santa Fe Ry. Co. v. United States,07-1601,Preemption of a state law claim does not make the claim a federal question for jurisdiction purposes.
